amplitude_policy,formula_family,beta_delta_v2_amplitude,raw_family_beta,raw_global_beta,is_negative,kernel,formula_source
family_unconstrained,K_compact_finite,108797.3699669811,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
family_unconstrained,K_scale_tail_spiral,758.0918289449462,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
family_unconstrained,K_exponential_disk,-1003.8829388432547,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
family_unconstrained,K_thick_flared,-522.9618227760329,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
family_attractive_only,K_compact_finite,108797.3699669811,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
family_attractive_only,K_scale_tail_spiral,758.0918289449462,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
family_attractive_only,K_exponential_disk,0.0,-1003.8829388432547,-300.55205314483686,False,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
family_attractive_only,K_thick_flared,0.0,-522.9618227760329,-300.55205314483686,False,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
global_unconstrained,K_compact_finite,-300.55205314483686,108797.3699669811,-300.55205314483686,True,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
global_unconstrained,K_scale_tail_spiral,-300.55205314483686,758.0918289449462,-300.55205314483686,True,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
global_unconstrained,K_exponential_disk,-300.55205314483686,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
global_unconstrained,K_thick_flared,-300.55205314483686,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
global_attractive_only,K_compact_finite,0.0,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
global_attractive_only,K_scale_tail_spiral,0.0,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
global_attractive_only,K_exponential_disk,0.0,-1003.8829388432547,-300.55205314483686,False,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
global_attractive_only,K_thick_flared,0.0,-522.9618227760329,-300.55205314483686,False,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
family_shrink_50_to_global,K_compact_finite,54248.40895691813,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
family_shrink_50_to_global,K_scale_tail_spiral,228.76988790005467,758.0918289449462,-300.55205314483686,False,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
family_shrink_50_to_global,K_exponential_disk,-652.2174959940457,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
family_shrink_50_to_global,K_thick_flared,-411.7569379604349,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
