galaxy,formula_family,blocker_class,acquisition_priority,primary_acquisition_lane,literature_status,source_title,source_authors_year,source_url,direct_kernel_evidence,extracted_profile,numeric_kernel_fields,endpoint_mapping_status,promotion_interpretation,strict_kernel_ready,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC4214,K_scale_tail_spiral,SCALE_TAIL_TRANSITION_MISSING,P0_DIRECT_TRANSITION_SEARCH,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,HI_WARP_PROFILE_CONTEXT_READY_TRANSITION_RADIUS_NOT_EXTRACTED,Dynamics of Starbursting Dwarf Galaxies. III. A HI study of 18 nearby objects,"Lelli, Verheijen & Fraternali 2014",https://arxiv.org/abs/1404.6252,HI study includes resolved kinematic/morphological context for NGC4214.,no machine-extracted tail transition radius in this pass,,DIRECT_TRANSITION_EXTRACTION_REQUIRED,"source is relevant for HI/warp morphology, but no direct tail inner/cutoff transition radius has been extracted",False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
UGC06917,K_scale_tail_spiral,SCALE_TAIL_TRANSITION_MISSING,P0_DIRECT_TRANSITION_SEARCH,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,HI_ATLAS_PROFILE_SOURCE_CANDIDATE_NEEDS_EXTRACTION,The Ursa Major Cluster of Galaxies. IV: HI synthesis observations,Verheijen & Sancisi 2001,https://arxiv.org/abs/astro-ph/0101404,"paper reports an HI atlas with radial HI surface density profiles, channel maps, velocity fields, and rotation curves",no galaxy-specific transition radius parsed in this pass,,ATLAS_PROFILE_EXTRACTION_REQUIRED,"candidate direct profile source exists, but the transition/break radius must be extracted residual-blind before promotion",False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
UGC06983,K_scale_tail_spiral,SCALE_TAIL_TRANSITION_MISSING,P0_DIRECT_TRANSITION_SEARCH,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,HI_ATLAS_PROFILE_SOURCE_CANDIDATE_NEEDS_EXTRACTION,The Ursa Major Cluster of Galaxies. IV: HI synthesis observations,Verheijen & Sancisi 2001,https://arxiv.org/abs/astro-ph/0101404,"paper reports an HI atlas with radial HI surface density profiles, channel maps, velocity fields, and rotation curves",no galaxy-specific transition radius parsed in this pass,,ATLAS_PROFILE_EXTRACTION_REQUIRED,"candidate direct profile source exists, but the transition/break radius must be extracted residual-blind before promotion",False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
NGC0024,K_thick_flared,VERTICAL_KERNEL_MISSING,P2_NON_EDGE_ON_PROXY_REVIEW,KINEMATIC_OR_MULTI_BAND_THICKNESS_PROXY_REVIEW,NO_TARGETED_LITERATURE_HIT_RECORDED_THIS_PASS,,,,,,,SOURCE_SEARCH_STILL_REQUIRED,no targeted source hit recorded in this pass,False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
NGC2683,K_thick_flared,VERTICAL_KERNEL_MISSING,P0_EDGE_ON_VERTICAL_GEOMETRY_LITERATURE_SEARCH,EDGE_ON_VERTICAL_DECOMPOSITION_OR_WARP_EXTRACTION,DIRECT_LITERATURE_FLARE_PROFILE_READY_MAPPING_REQUIRED,The flaring HI disk of the nearby spiral galaxy NGC 2683,"Vollmer, Nehlig & Ibata 2016",https://arxiv.org/abs/1512.07058,"Best-fit HI model includes thin disk inclined by about 80 deg, inclination warp, and exponential flare.","flare height H=FWHM/2 rises from 0.5 kpc at R=9 kpc to 4 kpc at R=15 kpc, remains constant to R=22 kpc, then decreases; outer low-surface-density ring has vertical offset 1.3 kpc",flare_H_start_kpc=0.5; flare_R_start_kpc=9; flare_H_max_kpc=4; flare_R_max_kpc=15; flare_R_saturation_end_kpc=22; ring_vertical_offset_kpc=1.3,MAPPING_REQUIRED_PROFILE_TO_THICK_FLARED_EXECUTABLE_KERNEL,"direct vertical/flare source evidence exists, but the current executable endpoint uses a scalar h/Rs proxy; do not override endpoint fields until a residual-blind profile-to-kernel mapping is implemented",False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
NGC3726,K_thick_flared,VERTICAL_KERNEL_MISSING,P2_NON_EDGE_ON_PROXY_REVIEW,KINEMATIC_OR_MULTI_BAND_THICKNESS_PROXY_REVIEW,NO_TARGETED_LITERATURE_HIT_RECORDED_THIS_PASS,,,,,,,SOURCE_SEARCH_STILL_REQUIRED,no targeted source hit recorded in this pass,False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
NGC3949,K_thick_flared,VERTICAL_KERNEL_MISSING,P2_NON_EDGE_ON_PROXY_REVIEW,KINEMATIC_OR_MULTI_BAND_THICKNESS_PROXY_REVIEW,NO_TARGETED_LITERATURE_HIT_RECORDED_THIS_PASS,,,,,,,SOURCE_SEARCH_STILL_REQUIRED,no targeted source hit recorded in this pass,False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
NGC4088,K_thick_flared,VERTICAL_KERNEL_MISSING,P1_HIGH_INCLINATION_FLARE_WARP_SEARCH,FLARE_WARP_OR_GAS_PLANE_THICKNESS_EXTRACTION,NO_TARGETED_LITERATURE_HIT_RECORDED_THIS_PASS,,,,,,,SOURCE_SEARCH_STILL_REQUIRED,no targeted source hit recorded in this pass,False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
UGC00891,K_scale_tail_spiral,SCALE_TAIL_TRANSITION_MISSING,P1_DIRECT_TRANSITION_OR_THEOREM_SEARCH,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,HI_ROTATION_PROFILE_SOURCE_CANDIDATE_NEEDS_EXTRACTION,van Zee et al. 1997 / SPARC vZ97 reference family,van Zee et al. 1997,https://adsabs.harvard.edu/pdf/1997AJ....113.1638V,candidate HI/rotation-profile source family cited by SPARC,no direct tail transition radius parsed in this pass,,PROFILE_EXTRACTION_REQUIRED,source family remains a candidate until the needed outer transition radius is extracted from the source-native profile,False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
UGC04499,K_scale_tail_spiral,SCALE_TAIL_TRANSITION_MISSING,P1_DIRECT_TRANSITION_OR_THEOREM_SEARCH,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,HI_ROTATION_PROFILE_SOURCE_CANDIDATE_NEEDS_EXTRACTION,The rotation curves shapes of late-type dwarf galaxies,Swaters et al. 2009,https://arxiv.org/abs/0901.4222,rotation-curve/HI source family cited by SPARC Sw09/Sw02 fields,no direct tail transition radius parsed in this pass,,PROFILE_EXTRACTION_REQUIRED,source family remains a candidate until the needed outer transition radius is extracted from the source-native profile,False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
UGC05829,K_scale_tail_spiral,SCALE_TAIL_TRANSITION_MISSING,P1_DIRECT_TRANSITION_OR_THEOREM_SEARCH,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,HI_ROTATION_PROFILE_SOURCE_CANDIDATE_NEEDS_EXTRACTION,The rotation curves shapes of late-type dwarf galaxies,Swaters et al. 2009,https://arxiv.org/abs/0901.4222,rotation-curve/HI source family cited by SPARC Sw09/Sw02 fields,no direct tail transition radius parsed in this pass,,PROFILE_EXTRACTION_REQUIRED,source family remains a candidate until the needed outer transition radius is extracted from the source-native profile,False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
NGC3972,K_thick_flared,VERTICAL_KERNEL_MISSING,P0_EDGE_ON_VERTICAL_GEOMETRY_LITERATURE_SEARCH,EDGE_ON_VERTICAL_DECOMPOSITION_OR_WARP_EXTRACTION,NO_TARGETED_LITERATURE_HIT_RECORDED_THIS_PASS,,,,,,,SOURCE_SEARCH_STILL_REQUIRED,no targeted source hit recorded in this pass,False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
NGC4389,K_thick_flared,VERTICAL_KERNEL_MISSING,P2_NON_EDGE_ON_PROXY_REVIEW,KINEMATIC_OR_MULTI_BAND_THICKNESS_PROXY_REVIEW,NO_TARGETED_LITERATURE_HIT_RECORDED_THIS_PASS,,,,,,,SOURCE_SEARCH_STILL_REQUIRED,no targeted source hit recorded in this pass,False,False,False,s4g75_literature_kernel_source_hits_not_endpoint
